Character	Average Placement	Standard Deviation	Gap
Sheik	20	0	0
Zero Suit Samus	19.46	0.708	0.538
Rosalina	18.77	0.87	0.687
Ryu	17.95	1.103	0.82
Pikachu	17.86	1.065	0.099
Sonic	17.83	1.269	0.021
Fox	17.52	1.146	0.313
Mario	17.51	1.108	0.014
Diddy Kong	17.43	0.998	0.082
Meta Knight	17.12	1.489	0.307
Villager	16.52	1.614	0.597
Cloud	16.5	1.657	0.023
Ness	16.39	1.502	0.11
Captain Falcon	15.16	1.767	1.228
Yoshi	15.15	1.893	0.013
Luigi	14.27	1.996	0.881
Dark Pit	13.89	2.138	0.381
Pit	13.88	2.308	0.006
Peach	13.75	2.115	0.133
R.O.B.	13.63	2.221	0.12
Wario	13.56	1.898	0.067
Toon Link	13.2	2.416	0.357
Lucario	12.92	2.224	0.285
Olimar	12.47	2.452	0.454
Greninja	12.25	2.633	0.215
Ike	12.12	2.425	0.126
Donkey Kong	11.8	2.252	0.325
Mega Man	11.41	2.159	0.386
Pac-Man	11.29	2.278	0.124
Bowser	10.81	2.66	0.477
Robin	10.17	2.722	0.642
Roy	9.29	3.209	0.883
Kirby	9.1	3.388	0.183
Bowser Jr.	8.93	2.671	0.176
Mr. Game & Watch	8.72	2.47	0.21
Lucas	8.65	2.993	0.071
Mewtwo	8.35	2.666	0.297
Falco	8.12	3.026	0.232
Wii Fit Trainer	8.08	2.674	0.037
Shulk	7.75	2.926	0.325
Marth	7.72	2.237	0.038
Link	7.47	2.474	0.249
Duck Hunt Dog	7.18	3.11	0.283
Little Mac	7.18	2.633	0.009
Dr. Mario	7.14	2.437	0.033
King Dedede	6.04	2.721	1.107
Lucina	5.59	2.547	0.447
Mii Brawler	5.01	2.952	0.584
Charizard	4.79	2.255	0.218
Palutena	4.78	2.199	0.008
Samus	4.12	1.942	0.656
Mii Gunner	3.6	2.153	0.525
Mii Swordsman	3.32	2.054	0.282
Ganondorf	3.23	1.675	0.082
Jigglypuff	2.79	2.035	0.448
Zelda	1.96	1.259	0.828
