Character	Ordered Score	Standard Deviation	Group Score	Group Standard Deviation	Difference from v2.0
Bayonetta	2	1.35	7.94	0.227	+10
Diddy Kong	2.3	0.991	7.95	0.211	-1
Cloud	3.31	1.443	7.77	0.438	-1
Sheik	4.22	1.988	7.62	0.564	-1
Sonic	5.63	2.257	7.35	0.608	+1
Mario	6.59	1.936	7.25	0.614	-1
Fox	7.06	1.904	7.17	0.667	<U+00B1>0
Rosalina	8.61	2.635	7.01	0.678	-4
Mewtwo	9.17	2.039	6.89	0.615	+1
Marth	9.73	2.822	6.81	0.662	+9
Zero Suit Samus	9.86	2.099	6.74	0.594	-3
Ryu	12.4	2.758	6.51	0.766	-3
Corrin	15.06	3.691	6	0.808	+5
Meta Knight	15.39	3.046	5.82	0.717	-1
Pikachu	17.67	4.67	5.83	0.734	-3
Mega Man	17.7	4.126	5.62	0.556	-1
Villager	18.2	3.22	5.66	0.609	-3
Lucina	18.78	5.992	5.67	0.841	+18
Lucario	20.23	5.581	5.4	0.741	+3
Toon Link	20.84	3.874	5.33	0.654	-3
Peach	22.79	4.303	5.14	0.791	+5
Greninja	23.52	4.657	5.08	0.569	-1
Captain Falcon	23.61	4.608	5.11	0.801	-3
Ness	24.82	5.534	4.95	0.748	-8
Bowser	25	5.46	4.87	0.807	+7
Luigi	25.69	5.669	4.86	0.846	+3
Olimar	25.82	7.005	4.76	1.01	+4
Donkey Kong	26.63	4.32	4.71	0.644	-3
Yoshi	28.26	4.968	4.6	0.891	-6
Pit [Dark Pit]	28.69	6.021	4.52	0.825	-6 [-3]
Lucas	30.12	4.659	4.35	0.814	+1
R.O.B.	30.34	4.799	4.28	0.949	-5
Robin	30.64	5.555	4.22	0.782	-4
Ike	35.04	4.111	3.68	0.812	<U+00B1>0
Wario	36.77	5.097	3.62	1.004	-2
Duck Hunt	37.09	6.539	3.42	0.917	+5
Shulk	37.31	5.894	3.47	0.871	+6
Link	38.59	4.908	3.37	0.842	+4
Mr. Game & Watch	39.18	5.54	3.29	0.972	-3
Samus	40.3	5.563	2.94	1.135	+4
Palutena	40.64	4.971	2.94	0.837	-2
Little Mac	42	4.461	2.87	0.911	-4
Roy	42.59	5.43	2.86	0.979	+6
Charizard	42.87	5.45	2.84	0.994	+6
Pac-Man	44.39	5.608	2.66	1.048	-8
Kirby	44.51	4.777	2.65	0.989	-6
Bowser Jr.	45.51	5.31	2.5	1.094	-1
Wii Fit Trainer	45.61	4.496	2.4	0.821	-3
Falco	45.68	4.059	2.39	0.829	-1
Dr. Mario	47.09	4.542	2.26	0.839	-3
King Dedede	50	2.991	1.71	0.859	<U+00B1>0
Ganondorf	51.67	2.364	1.46	0.655	+3
Mii Gunner	51.75	2.537	1.69	0.533	-1
Zelda	51.93	2.531	1.43	0.579	<U+00B1>0
Mii Brawler	52.14	3.27	1.73	1.006	-2
Mii Swordsman	52.5	5.099	1.61	0.629	<U+00B1>0
Jigglypuff	53.64	1.459	1.18	0.356	<U+00B1>0
