Character	GrabPixels	HitboxStart	HitboxEnd	FAF
Bayonetta	81	7	8	31
Captain	76	7	8	31
Cloud	67	7	8	32
Dedede	85	7	8	36
Diddy	77	6	7	32
Donkey	101	8	9	31
DrMario	81	6	7	29
DuckHunt	90	8	9	29
Falco	78	8	9	32
Fox	73	6	7	29
GameWatch	74	6	7	30
Ganon	71	7	8	36
Gekkouga	102	11	12	29
Ike	72	7	8	33
Kamui	78	7	8	31
Kirby	71	6	7	28
Koopa	100	9	10	39
KoopaJr	91	12	13	36
Link	212	12	17	62
LittleMac	67	9	10	33
Lizardon	87	8	9	34
Lucario	89	6	7	29
Lucas	150	12	19	46
Lucina	78	7	8	30
Luigi	79	6	7	29
Mario	79	6	7	29
Marth	78	7	8	30
MetaKnight	68	7	8	32
Mewtwo	76	7	8	36
Murabito	120	15	16	56
Ness	77	6	7	35
Pacman	155	12	32	76
Palutena	97	7	8	32
Peach	74	6	7	32
Pikachu	73	6	7	28
Pikmin	157	10	19	50
Pit	78	6	7	30
PitB	78	6	7	30
Purin	64	6	7	27
Reflet	74	7	8	40
Robot	62	7	8	31
Rockman	76	6	7	31
Rosetta	87	6	7	36
Roy	74	7	8	30
Ryu	72	6	7	30
Samus	238	16	25	70
Sheik	71	6	7	28
Shulk	81	7	8	30
Sonic	75	6	7	31
SZeroSuit	221	16	25	69
ToonLink	172	12	18	62
Wario	76	8	9	30
WiiFit	74	6	7	29
Yoshi	152	14	24	56
Zelda	90	10	11	38
MiiEnemyF	74	6	7	30
MiiGunner	79	6	7	29
MiiEnemyS	79	6	7	29
