Character,Popularity,Results
Sheik,8.164906927,5.942514505
Diddy,8.651051691,5.584962501
Cloud,9.257387843,5.392317423
Fox,8.475733431,5.357552005
Mario,8.768184325,4.918863237
Sonic,7.714245518,4.906890596
SZeroSuit,7.813781191,4.686500527
Rosetta,8.326429487,4.686500527
MetaKnight,6.781359714,4.50779464
Captain,8.442943496,4.303780748
Ryu,7.491853096,4.087462841
Marth,7.73470962,4.044394119
Pikachu,7.906890596,4.044394119
Bayonetta,7.491853096,3.882643049
Peach,6.820178962,3.857980995
Donkey,6.906890596,3.64385619
ToonLink,7.417852515,3.614709844
LittleMac,7.721099189,3.392317423
Ness,8.184875343,3.357552005
Gekkouga,7.483815777,3.357552005
Lucas,7.033423002,3.321928095
Robot,7.707359132,3.285402219
Luigi,7.768184325,3.247927513
DuckHunt,5.285402219,3.247927513
Reflet,6.741466986,3.247927513
Yoshi,8.214319121,3.169925001
Ike,7.451211112,3
Rockman,6.442943496,2.807354922
Pit,6.672425342,2.807354922
Lucario,6.50779464,2.700439718
Koopa,6.781359714,2.700439718
Mewtwo,7.417852515,2.700439718
Murabito,6.965784285,2.584962501
Wario,6.918863237,2.321928095
Pikmin,5.727920455,2.321928095
Palutena,6.247927513,2.321928095
KoopaJr,5.523561956,2.169925001
Dedede,6.700439718,2.169925001
Kamui,7.982993575,2.087462841
Shulk,6.247927513,1.807354922
Link,7.459431619,1.807354922
GameWatch,6.894817763,1.584962501
Falco,6.727920455,1.169925001
Kirby,7.055282436,1
Zelda,5.977279923,1
MiiEnemyF,4.459431619,1
Pacman,6.321928095,0.584962501
Lucina,6.426264755,0
WiiFit,6.357552005,0
Lizardon,6.209453366,0
Samus,6.700439718,0
Ganon,6.857980995,0
Purin,5.357552005,0
DrMario,5.247927513,0
MiiEnemyG,3.459431619,0
Roy,6.247927513,0
MiiEnemyS,3.807354922,0
