Character	Ordered Average	Standard Deviation (Order)	Grouped Average	Standard Deviation (Group)	Weighted Group	Difference from v1.0
Diddy Kong	1.32	1.501	9.88	0.391	9.95	+8
Cloud	2.18	2.18	9.84	0.418	9.91	+10
Sheik	2.66	2.734	9.65	0.7	9.82	-2
Rosalina	3.39	2.085	9.66	0.634	9.85	-1
Mario	4.88	2.443	9.33	0.786	9.62	+3
Sonic	5.39	2.756	9.29	0.733	9.61	<U+00B1>0
Fox	5.88	2.376	9.15	0.776	9.56	<U+00B1>0
Zero Suit Samus	7.09	2.182	8.83	0.782	9.28	-6
Ryu	8.41	4.165	8.68	0.874	9.14	-5
Mewtwo	8.46	3.07	8.72	0.73	9.21	+27
Bayonetta	8.93	3.914	8.74	0.885	9.14	New
Pikachu	13.88	3.274	7.67	0.9	8.26	-7
Meta Knight	14.54	5.931	7.62	1.092	8.17	-4
Villager	15.07	4.358	7.51	0.806	8.08	-3
Mega Man	15.93	5.837	7.4	0.937	7.95	+13
Ness	16.39	4.916	7.41	1.068	8	-3
Toon Link	16.64	3.739	7.23	0.836	7.82	+5
Corrin	17.85	6.337	7.15	1.107	7.66	New
Marth	19.36	6.852	7.01	1.063	7.47	+23
Captain Falcon	20.95	4.615	6.72	0.922	7.26	-6
Greninja	21.11	5.731	6.8	1.052	7.32	+4
Lucario	21.52	5.405	6.63	0.968	7.14	+1
Yoshi	23.64	5.201	6.42	0.984	6.9	-8
Pit	23.73	6.264	6.39	1.115	6.83	-6
Donkey Kong	24.41	4.854	6.27	0.98	6.68	+2
Peach	24.52	5.898	6.2	1.079	6.64	-7
Dark Pit	24.89	5.888	6.27	1.044	6.68	-10
R.O.B.	25.64	5.393	6.08	1.17	6.51	-8
Luigi	27.34	6.583	5.95	1.126	6.26	-13
Olimar	30.93	7.914	5.62	1.338	5.94	-6
Robin	30.98	6.396	5.42	0.931	5.61	<U+00B1>0
Bowser	31.55	5.812	5.23	1.018	5.4	-2
Lucas	32.18	7.071	5.17	1.149	5.34	+3
Wario	32.61	4.471	5.26	0.943	5.43	-13
Ike	32.68	5.711	5.06	1.03	5.08	-7
Lucina	34.52	7.746	4.95	1.178	5.08	+13
Mr. Game & Watch	37.8	6.637	4.38	1.337	4.33	+1
Pac-Man	38.73	6.016	4.34	1.097	4.18	-6
Little Mac	38.8	6.891	4.21	1.149	4.01	+7
Palutena	38.91	5.881	4.11	1.156	3.94	+12
Kirby	39.27	6.413	4.23	1.166	4.06	-5
Duck Hunt	40	7.697	4.21	1.303	4.05	+3
Link	40.64	8.186	4.09	1.338	3.94	+1
Shulk	41.77	6.753	3.86	1.267	3.6	-2
Samus	42.66	6.459	3.71	1.186	3.49	+8
Bowser Jr.	43.18	5.907	3.61	1.138	3.33	-10
Wii Fit Trainer	43.18	5.465	3.65	1.043	3.35	-5
Dr. Mario	45.16	4.554	3.47	1.051	3.11	-1
Falco	45.75	4.141	3.25	1.036	2.86	-9
Roy	46.02	5.323	3.38	1.191	3.08	-15
Charizard	48.27	3.763	2.82	1.077	2.48	<U+00B1>0
King Dedede	49.02	4.06	2.7	1.146	2.32	-6
Mii Gunner	51.26	6.322	2.28	1.124	1.7	+2
Mii Brawler	51.89	6.696	2.26	1.316	1.76	-3
Zelda	52.07	2.235	1.92	0.616	1.49	+3
Ganondorf	52.66	2.254	1.9	0.651	1.47	<U+00B1>0
Mii Swordfighter	53.85	3.951	2.04	0.947	1.53	-2
Jigglypuff	53.98	1.433	1.72	0.604	1.35	-1
