set_id,game_id,season_id,created_at,match_count,game_number,search_user_id,reply_user_id,search_user_character_unused,reply_user_character_unused,stage_pick,game_result,set_result
303562,94446,4,2014-10-15 15:45:06,3,1,8245,7366,82,104,54,2,2
303562,94470,4,2014-10-15 15:45:06,3,2,8245,7366,82,104,49,2,2
303659,94482,4,2014-10-15 16:02:04,3,1,2210,7366,119,104,53,2,2
303659,94499,4,2014-10-15 16:02:04,3,2,2210,7366,119,104,50,2,2
303665,94483,4,2014-10-15 16:03:08,3,1,8640,8245,108,82,52,1,1
303665,94504,4,2014-10-15 16:03:08,3,2,8640,8245,108,82,49,1,1
303740,94526,4,2014-10-15 16:25:12,3,1,7366,8640,104,108,52,1,1
303740,94541,4,2014-10-15 16:25:12,3,2,7366,8640,104,108,54,2,1
303740,94553,4,2014-10-15 16:25:12,3,3,7366,8640,104,108,54,1,1
303755,94537,4,2014-10-15 16:29:57,3,1,7523,8245,100,82,53,2,2
303755,94569,4,2014-10-15 16:29:57,3,2,7523,8245,105,82,52,2,2
303771,94545,4,2014-10-15 16:33:07,3,1,3304,8857,76,91,52,1,2
303771,94563,4,2014-10-15 16:33:07,3,2,3304,8857,76,91,52,2,2
303771,94573,4,2014-10-15 16:33:07,3,3,3304,8857,76,91,50,2,2
303820,94571,4,2014-10-15 16:42:35,3,1,7366,9284,104,85,52,1,1
303820,94587,4,2014-10-15 16:42:35,3,2,7366,9284,104,75,52,1,1
303836,94580,4,2014-10-15 16:47:29,3,1,8962,2210,90,119,54,2,2
303836,94597,4,2014-10-15 16:47:29,3,2,8962,2210,93,119,53,2,2
303863,94592,4,2014-10-15 16:54:02,3,1,7523,8640,105,108,54,2,2
303863,94610,4,2014-10-15 16:54:02,3,2,7523,8640,84,108,52,2,2
303884,94606,4,2014-10-15 16:59:51,3,1,7366,8857,104,91,52,1,1
303884,94619,4,2014-10-15 16:59:51,3,2,7366,8857,104,91,53,1,1
303927,94631,4,2014-10-15 17:10:37,3,1,2210,7523,119,84,53,1,1
303927,94649,4,2014-10-15 17:10:37,3,2,2210,7523,119,105,52,1,1
303940,94637,4,2014-10-15 17:14:32,3,1,8640,8857,108,91,54,1,1
303940,94651,4,2014-10-15 17:14:32,3,2,8640,8857,108,91,52,1,1
304016,94674,4,2014-10-15 17:30:53,3,1,8857,1640,91,74,53,1,1
304016,94689,4,2014-10-15 17:30:53,3,2,8857,1640,91,117,54,1,1
304183,94717,4,2014-10-15 18:26:31,3,1,7366,2182,104,113,52,1,1
304183,94728,4,2014-10-15 18:26:31,3,2,7366,2182,104,106,52,1,1
304383,94777,4,2014-10-15 19:25:03,3,1,7482,8857,115,91,52,2,2
304383,94790,4,2014-10-15 19:25:03,3,2,7482,8857,75,91,50,2,2
304446,94797,4,2014-10-15 19:41:47,3,1,7366,7482,104,106,54,1,1
304446,94808,4,2014-10-15 19:41:47,3,2,7366,7482,104,84,53,1,1
304475,94810,4,2014-10-15 19:48:32,3,1,2300,8245,88,82,53,1,1
304475,94816,4,2014-10-15 19:48:32,3,2,2300,8245,88,100,49,2,1
304475,94824,4,2014-10-15 19:48:32,3,3,2300,8245,88,100,52,1,1
304525,94830,4,2014-10-15 20:04:20,3,1,7366,2300,104,88,54,1,1
304525,94837,4,2014-10-15 20:04:20,3,2,7366,2300,104,72,52,1,1
304718,94919,4,2014-10-15 20:56:29,3,1,7366,3136,104,94,52,1,1
304718,94928,4,2014-10-15 20:56:29,3,2,7366,3136,104,87,49,1,1
304760,94937,4,2014-10-15 21:07:37,3,1,7366,3136,104,112,52,1,1
304760,94944,4,2014-10-15 21:07:37,3,2,7366,3136,104,93,53,1,1
304820,94959,4,2014-10-15 21:20:47,5,1,3136,2210,94,119,53,1,2
304820,94978,4,2014-10-15 21:20:47,5,2,3136,2210,94,119,50,2,2
304820,94994,4,2014-10-15 21:20:47,5,3,3136,2210,87,119,52,2,2
304820,95011,4,2014-10-15 21:20:47,5,4,3136,2210,112,119,52,1,2
304820,95027,4,2014-10-15 21:20:47,5,5,3136,2210,112,119,54,2,2
304941,95030,4,2014-10-15 21:53:55,3,1,9082,6047,70,93,53,1,1
304941,95053,4,2014-10-15 21:53:55,3,2,9082,6047,70,78,50,1,1
304961,95047,4,2014-10-15 22:00:15,5,1,8640,3136,108,94,52,1,2
304961,95067,4,2014-10-15 22:00:15,5,2,8640,3136,108,112,53,2,2
304961,95088,4,2014-10-15 22:00:15,5,3,8640,3136,108,112,54,2,2
304961,95103,4,2014-10-15 22:00:15,5,4,8640,3136,88,112,53,2,2
305286,95180,4,2014-10-15 23:23:10,3,1,8640,2210,108,119,54,1,1
305286,95194,4,2014-10-15 23:23:10,3,2,8640,2210,108,119,53,1,1
306921,95745,4,2014-10-16 17:44:35,3,1,2764,3685,109,102,54,1,1
306921,95788,4,2014-10-16 17:44:35,3,2,2764,3685,119,102,49,2,1
306921,95802,4,2014-10-16 17:44:35,3,3,2764,3685,92,102,50,1,1
306984,95764,4,2014-10-16 18:01:32,3,1,9351,8857,112,91,52,2,2
306984,95778,4,2014-10-16 18:01:32,3,2,9351,8857,112,91,53,2,2
307056,95790,4,2014-10-16 18:16:21,3,1,3292,9351,71,112,54,2,2
307056,95804,4,2014-10-16 18:16:21,3,2,3292,9351,71,112,50,1,2
307056,95821,4,2014-10-16 18:16:21,3,3,3292,9351,71,112,53,2,2
307338,95914,4,2014-10-16 19:23:21,3,1,3696,5782,74,94,53,1,1
307338,95934,4,2014-10-16 19:23:21,3,2,3696,5782,88,94,54,1,1
307513,95975,4,2014-10-16 20:09:54,3,1,5782,3136,94,94,53,2,2
307513,95998,4,2014-10-16 20:09:54,3,2,5782,3136,94,112,52,2,2
307606,96006,4,2014-10-16 20:30:45,3,1,9351,3136,112,112,54,2,2
307606,96012,4,2014-10-16 20:30:45,3,2,9351,3136,93,112,50,2,2
307638,96014,4,2014-10-16 20:39:43,3,1,3685,8640,102,108,54,2,2
307638,96023,4,2014-10-16 20:39:43,3,2,3685,8640,102,108,53,2,2
307657,96019,4,2014-10-16 20:43:35,3,1,2764,3136,109,112,52,2,2
307657,96042,4,2014-10-16 20:43:35,3,2,2764,3136,92,112,50,2,2
307686,96027,4,2014-10-16 20:49:44,3,1,9351,9355,112,110,52,1,1
307686,96048,4,2014-10-16 20:49:44,3,2,9351,9355,112,119,49,1,1
307758,96055,4,2014-10-16 21:04:49,3,1,9351,8640,112,108,54,2,2
307758,96068,4,2014-10-16 21:04:49,3,2,9351,8640,93,108,50,2,2
307797,96071,4,2014-10-16 21:13:44,3,1,382,2764,74,119,52,2,1
307797,96073,4,2014-10-16 21:13:44,3,2,382,2764,107,109,54,1,1
307797,96083,4,2014-10-16 21:13:44,3,3,382,2764,103,80,50,1,1
307988,96142,4,2014-10-16 21:56:34,3,1,792,9251,95,94,52,1,1
307988,96156,4,2014-10-16 21:56:34,3,2,792,9251,73,85,54,2,1
307988,96166,4,2014-10-16 21:56:34,3,3,792,9251,95,85,53,1,1
308235,96238,4,2014-10-16 23:03:32,3,1,9355,9403,110,72,52,1,2
308235,96247,4,2014-10-16 23:03:32,3,2,9355,9403,119,88,49,2,2
308235,96254,4,2014-10-16 23:03:32,3,3,9355,9403,110,79,50,2,2
308289,96265,4,2014-10-16 23:34:32,3,1,9408,9355,85,110,54,1,1
308289,96268,4,2014-10-16 23:34:32,3,2,9408,9355,85,119,50,1,1
308356,96288,4,2014-10-17 00:06:17,3,1,9416,9423,120,80,52,2,2
308356,96302,4,2014-10-17 00:06:17,3,2,9416,9423,84,113,54,2,2
308467,96358,4,2014-10-17 01:05:00,3,1,7523,2764,100,109,52,1,1
308467,96365,4,2014-10-17 01:05:00,3,2,7523,2764,100,119,51,2,1
